2026-04-14 10:56:29 | INFO     | app.main:lifespan:24 — Starting RAG Chatbot v0.1.0 [development]
2026-04-14 10:56:29 | INFO     | app.main:lifespan:25 — LLM  : llama3.2:3b  @  http://localhost:11434
2026-04-14 10:56:29 | INFO     | app.main:lifespan:26 — Embed: nomic-embed-text
2026-04-14 10:56:29 | INFO     | app.services.ingestion:ingest_directory:76 — Found 5 supported file(s) in data\raw
2026-04-14 10:56:29 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\gioi_thieu_ai.txt
2026-04-14 10:56:29 | WARNING  | app.services.ingestion:_load_file:111 — TextLoader failed for data\raw\gioi_thieu_ai.txt, thử đọc bằng Python thuần: Error loading data\raw\gioi_thieu_ai.txt
2026-04-14 10:56:29 | INFO     | app.services.ingestion:_load_file:117 — Loaded 1 page from gioi_thieu_ai.txt (python open)
2026-04-14 10:56:29 | INFO     | app.services.ingestion:ingest_file:56 — Loaded 1 docs from gioi_thieu_ai.txt
2026-04-14 10:56:29 | INFO     | app.services.ingestion:ingest_file:58 — Split into 4 chunks from gioi_thieu_ai.txt
2026-04-14 10:56:40 | INFO     | app.services.vector_store:add_documents:44 — Added 4 chunks to collection 'rag_collection'
2026-04-14 10:56:40 | INFO     | app.services.ingestion:ingest_file:62 — Added 4 chunks to vector store from gioi_thieu_ai.txt
2026-04-14 10:56:40 | INFO     | app.services.ingestion:ingest_directory:83 —   ✓ gioi_thieu_ai.txt → 4 chunks
2026-04-14 10:56:40 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\machine_learning.txt
2026-04-14 10:56:40 | WARNING  | app.services.ingestion:_load_file:111 — TextLoader failed for data\raw\machine_learning.txt, thử đọc bằng Python thuần: Error loading data\raw\machine_learning.txt
2026-04-14 10:56:40 | INFO     | app.services.ingestion:_load_file:117 — Loaded 1 page from machine_learning.txt (python open)
2026-04-14 10:56:40 | INFO     | app.services.ingestion:ingest_file:56 — Loaded 1 docs from machine_learning.txt
2026-04-14 10:56:40 | INFO     | app.services.ingestion:ingest_file:58 — Split into 6 chunks from machine_learning.txt
2026-04-14 10:56:54 | INFO     | app.services.vector_store:add_documents:44 — Added 6 chunks to collection 'rag_collection'
2026-04-14 10:56:54 | INFO     | app.services.ingestion:ingest_file:62 — Added 6 chunks to vector store from machine_learning.txt
2026-04-14 10:56:54 | INFO     | app.services.ingestion:ingest_directory:83 —   ✓ machine_learning.txt → 6 chunks
2026-04-14 10:56:54 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\python_cho_ai.txt
2026-04-14 10:56:54 | WARNING  | app.services.ingestion:_load_file:111 — TextLoader failed for data\raw\python_cho_ai.txt, thử đọc bằng Python thuần: Error loading data\raw\python_cho_ai.txt
2026-04-14 10:56:54 | INFO     | app.services.ingestion:_load_file:117 — Loaded 1 page from python_cho_ai.txt (python open)
2026-04-14 10:56:54 | INFO     | app.services.ingestion:ingest_file:56 — Loaded 1 docs from python_cho_ai.txt
2026-04-14 10:56:54 | INFO     | app.services.ingestion:ingest_file:58 — Split into 4 chunks from python_cho_ai.txt
2026-04-14 10:57:04 | INFO     | app.services.vector_store:add_documents:44 — Added 4 chunks to collection 'rag_collection'
2026-04-14 10:57:04 | INFO     | app.services.ingestion:ingest_file:62 — Added 4 chunks to vector store from python_cho_ai.txt
2026-04-14 10:57:04 | INFO     | app.services.ingestion:ingest_directory:83 —   ✓ python_cho_ai.txt → 4 chunks
2026-04-14 10:57:04 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\rag_va_llm.txt
2026-04-14 10:57:04 | WARNING  | app.services.ingestion:_load_file:111 — TextLoader failed for data\raw\rag_va_llm.txt, thử đọc bằng Python thuần: Error loading data\raw\rag_va_llm.txt
2026-04-14 10:57:04 | INFO     | app.services.ingestion:_load_file:117 — Loaded 1 page from rag_va_llm.txt (python open)
2026-04-14 10:57:04 | INFO     | app.services.ingestion:ingest_file:56 — Loaded 1 docs from rag_va_llm.txt
2026-04-14 10:57:04 | INFO     | app.services.ingestion:ingest_file:58 — Split into 6 chunks from rag_va_llm.txt
2026-04-14 10:57:18 | INFO     | app.services.vector_store:add_documents:44 — Added 6 chunks to collection 'rag_collection'
2026-04-14 10:57:18 | INFO     | app.services.ingestion:ingest_file:62 — Added 6 chunks to vector store from rag_va_llm.txt
2026-04-14 10:57:18 | INFO     | app.services.ingestion:ingest_directory:83 —   ✓ rag_va_llm.txt → 6 chunks
2026-04-14 10:57:18 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\test_ingest.txt
2026-04-14 10:57:18 | WARNING  | app.services.ingestion:_load_file:111 — TextLoader failed for data\raw\test_ingest.txt, thử đọc bằng Python thuần: Error loading data\raw\test_ingest.txt
2026-04-14 10:57:18 | INFO     | app.services.ingestion:_load_file:117 — Loaded 1 page from test_ingest.txt (python open)
2026-04-14 10:57:18 | INFO     | app.services.ingestion:ingest_file:56 — Loaded 1 docs from test_ingest.txt
2026-04-14 10:57:18 | INFO     | app.services.ingestion:ingest_file:58 — Split into 1 chunks from test_ingest.txt
2026-04-14 10:57:20 | INFO     | app.services.vector_store:add_documents:44 — Added 1 chunks to collection 'rag_collection'
2026-04-14 10:57:20 | INFO     | app.services.ingestion:ingest_file:62 — Added 1 chunks to vector store from test_ingest.txt
2026-04-14 10:57:20 | INFO     | app.services.ingestion:ingest_directory:83 —   ✓ test_ingest.txt → 1 chunks
2026-04-14 10:57:20 | INFO     | app.services.ingestion:ingest_directory:87 — Total chunks added from directory: 21
2026-04-14 11:00:05 | INFO     | app.main:lifespan:28 — Shutting down …
